Dv	E1	E2	E3	E4	E5	E6	E7	E8
0.000000000000000000e+00	-6.106128189706599291e-02	-5.926458984878331393e-02	5.926458984878332781e-02	6.106128189706601372e-02	-6.106128189706601372e-02	-5.926458984878332781e-02	5.926458984878331393e-02	6.106128189706599291e-02
2.052052052052052023e-04	-6.094994926740954222e-02	-5.914964812104640812e-02	5.937947849897451391e-02	6.117255933151582309e-02	-6.117255933151582309e-02	-5.937947849897451391e-02	5.914964812104640812e-02	6.094994926740954222e-02
4.104104104104104047e-04	-6.083856164011254564e-02	-5.903465351190666927e-02	5.949431387471381533e-02	6.128378137243502277e-02	-6.128378137243502277e-02	-5.949431387471381533e-02	5.903465351190666927e-02	6.083856164011254564e-02
6.156156156156155799e-04	-6.072711921196852908e-02	-5.891960621673747456e-02	5.960909577831215167e-02	6.139494782071674289e-02	-6.139494782071674289e-02	-5.960909577831215167e-02	5.891960621673747456e-02	6.072711921196852908e-02
8.208208208208208094e-04	-6.061562217901925176e-02	-5.880450643014392687e-02	5.972382401129482793e-02	6.150605847647924729e-02	-6.150605847647924729e-02	-5.972382401129482793e-02	5.880450643014392687e-02	6.061562217901925176e-02
1.026026026026025930e-03	-6.050407073654526235e-02	-5.868935434597913336e-02	5.983849837441010400e-02	6.161711313906242937e-02	-6.161711313906242937e-02	-5.983849837441010400e-02	5.868935434597913336e-02	6.050407073654526235e-02
1.231231231231231160e-03	-6.039246507908235806e-02	-5.857415015734619701e-02	5.995311866760458935e-02	6.172811160701105471e-02	-6.172811160701105471e-02	-5.995311866760458935e-02	5.857415015734619701e-02	6.039246507908235806e-02
1.436436436436436389e-03	-6.028080540042327073e-02	-5.845889405659039639e-02	6.006768469003778699e-02	6.183905367810418885e-02	-6.183905367810418885e-02	-6.006768469003778699e-02	5.845889405659039639e-02	6.028080540042327073e-02
1.641641641641641619e-03	-6.016909189361116517e-02	-5.834358623532304167e-02	6.018219624005754359e-02	6.194993914924223910e-02	-6.194993914924223910e-02	-6.018219624005754359e-02	5.834358623532304167e-02	6.016909189361116517e-02
1.846846846846846848e-03	-6.005732475096347417e-02	-5.822822688440777716e-02	6.029665311520698151e-02	6.206076781663408259e-02	-6.206076781663408259e-02	-6.029665311520698151e-02	5.822822688440777716e-02	6.005732475096347417e-02
