# phi  e_band1  e_band2  e_band3  e_band4
0.000000000000000000e+00 -6.106128189706596515e-02 -5.926458984878195391e-02 5.926458984878196085e-02 6.106128189706595821e-02
3.143164235707646918e-03 -6.111822566659448619e-02 -5.920888634415070323e-02 5.932028088465612914e-02 6.100432367733908678e-02
6.286328471415293835e-03 -6.117515495938256886e-02 -5.915317039311709935e-02 5.937595942937567983e-02 6.094735103390314795e-02
9.429492707122941186e-03 -6.123206974883543818e-02 -5.909744201799357888e-02 5.943162546050045209e-02 6.089036399319505688e-02
1.257265694283058767e-02 -6.128897000830518804e-02 -5.904170124105011241e-02 5.948727895554732636e-02 6.083336258159922905e-02
1.571582117853823415e-02 -6.134585571109076041e-02 -5.898594808451455840e-02 5.954291989199031465e-02 6.077634682544807293e-02
1.885898541424588237e-02 -6.140272683043781349e-02 -5.893018257057252435e-02 5.959854824726020656e-02 6.071931675102189979e-02
2.200214964995352712e-02 -6.145958333953848579e-02 -5.887440472136785258e-02 5.965416399874441666e-02 6.066227238454918042e-02
2.514531388566117534e-02 -6.151642521153121573e-02 -5.881861455900237040e-02 5.970976712378725515e-02 6.060521375220680185e-02
2.828847812136882356e-02 -6.157325241950063061e-02 -5.876281210553632034e-02 5.976535759968917838e-02 6.054814088011992862e-02
3.143164235707646831e-02 -6.163006493647726902e-02 -5.870699738298831155e-02 5.982093540370728157e-02 6.049105379436253010e-02
3.457480659278411306e-02 -6.168686273543748377e-02 -5.865117041333547943e-02 5.987650051305446613e-02 6.043395252095727643e-02
3.771797082849176475e-02 -6.174364578930337244e-02 -5.859533121851367987e-02 5.993205290489992537e-02 6.037683708587605891e-02
4.086113506419940949e-02 -6.180041407094237493e-02 -5.853947982041757953e-02 5.998759255636891552e-02 6.031970751503944184e-02
4.400429929990705424e-02 -6.185716755316723187e-02 -5.848361624090069738e-02 6.004311944454238797e-02 6.026256383431780050e-02
4.714746353561470593e-02 -6.191390620873585271e-02 -5.842774050177561990e-02 6.009863354645641337e-02 6.020540606953003748e-02
5.029062777132235068e-02 -6.197063001035103130e-02 -5.837185262481413978e-02 6.014823424643736538e-02 6.015413483910059950e-02
5.343379200702999543e-02 -6.202733893066036952e-02 -5.831595263174731841e-02 6.009104839078496796e-02 6.020962329943205932e-02
5.657695624273764712e-02 -6.208403294225604829e-02 -5.826004054426563855e-02 6.003384852821470191e-02 6.026509890434336020e-02
5.972012047844529187e-02 -6.214071201767461250e-02 -5.820411638401915000e-02 5.997663468435431716e-02 6.032056163069523386e-02
6.286328471415293662e-02 -6.219737612939688076e-02 -5.814818017261751126e-02 5.991940688477345733e-02 6.037601145530094998e-02
6.600644894986058830e-02 -6.225402524984764013e-02 -5.809223193163021853e-02 5.986216515499122315e-02 6.043144835492775951e-02
6.914961318556822611e-02 -6.231065935139571549e-02 -5.803627168258664731e-02 5.980490952047767123e-02 6.048687230629832406e-02
7.229277742127587780e-02 -6.236727840635343523e-02 -5.798029944697617732e-02 5.974764000665361979e-02 6.054228328608912690e-02
7.543594165698352949e-02 -6.242388238697680475e-02 -5.792431524624839373e-02 5.969035663889051685e-02 6.059768127093148604e-02
7.857910589269116730e-02 -6.248047126546504848e-02 -5.786831910181314265e-02 5.963305944251106466e-02 6.065306623741082565e-02
8.172227012839881899e-02 -6.253704501396049886e-02 -5.781231103504059360e-02 5.957574844278874099e-02 6.070843816206671767e-02
8.486543436410647068e-02 -6.259360360454863104e-02 -5.775629106726146156e-02 5.951842366494882602e-02 6.076379702139272920e-02
8.800859859981410849e-02 -6.265014700925754243e-02 -5.770025921976716654e-02 5.946108513416768077e-02 6.081914279183626287e-02
9.115176283552176018e-02 -6.270667520005797357e-02 -5.764421551380973646e-02 5.940373287557322579e-02 6.087447544979832786e-02
9.429492707122941186e-02 -6.276318814886307218e-02 -5.758815997060214020e-02 5.934636691424544086e-02 6.092979497163350522e-02
9.743809130693704967e-02 -6.281968582752824048e-02 -5.753209261131830149e-02 5.928898727521599021e-02 6.098510133364991315e-02
1.005812555426447014e-01 -6.287616820785085769e-02 -5.747601345709328624e-02 5.923159398346859034e-02 6.104039451210868661e-02
1.037244197783523530e-01 -6.293263526157019672e-02 -5.741992252902330951e-02 5.917418706393927363e-02 6.109567448322420630e-02
1.068675840140599909e-01 -6.298908696036722987e-02 -5.736381984816598528e-02 5.911676654151625659e-02 6.115094122316377251e-02
1.100107482497676425e-01 -6.304552327586430971e-02 -5.730770543554032648e-02 5.905933244104046714e-02 6.120619470804753576e-02
1.131539124854752942e-01 -6.310194417962514124e-02 -5.725157931212688373e-02 5.900188478730523933e-02 6.126143491394824003e-02
1.162970767211829320e-01 -6.315834964315455990e-02 -5.719544149886796047e-02 5.894442360505681988e-02 6.131666181689117423e-02
1.194402409568905837e-01 -6.321473963789815687e-02 -5.713929201666760604e-02 5.888694891899443062e-02 6.137187539285404725e-02
1.225834051925982354e-01 -6.327111413524237615e-02 -5.708313088639177524e-02 5.882946075377022688e-02 6.142707561776670350e-02
1.257265694283058732e-01 -6.332747310651415384e-02 -5.702695812886845322e-02 5.877195913398972071e-02 6.148226246751101881e-02
1.288697336640135249e-01 -6.338381652298068214e-02 -5.697077376488775963e-02 5.871444408421170463e-02 6.153743591792093515e-02
1.320128978997211766e-01 -6.344014435584936773e-02 -5.691457781520206649e-02 5.865691562894853606e-02 6.159259594478202343e-02
1.351560621354288283e-01 -6.349645657626755424e-02 -5.685837030052607460e-02 5.859937379266616508e-02 6.164774252383149050e-02
1.382992263711364522e-01 -6.355275315532220304e-02 -5.680215124153698003e-02 5.854181859978438429e-02 6.170287563075804033e-02
1.414423906068441039e-01 -6.360903406403997651e-02 -5.674592065887457820e-02 5.848425007467691894e-02 6.175799524120165196e-02
1.445855548425517556e-01 -6.366529927338676620e-02 -5.668967857314134023e-02 5.842666824167155187e-02 6.181310133075345464e-02
