# phi  e_band1  e_band2  e_band3  e_band4
0.000000000000000000e+00 -6.106128189706596515e-02 -5.926458984878195391e-02 5.926458984878196085e-02 6.106128189706595821e-02
3.143164235707646918e-03 -6.100432367733907291e-02 -5.932028088465612914e-02 5.920888634415071711e-02 6.111822566659449313e-02
6.286328471415293835e-03 -6.094735103390318265e-02 -5.937595942937570065e-02 5.915317039311709241e-02 6.117515495938257580e-02
9.429492707122941186e-03 -6.089036399319506382e-02 -5.943162546050046596e-02 5.909744201799355806e-02 6.123206974883542431e-02
1.257265694283058767e-02 -6.083336258159920823e-02 -5.948727895554733330e-02 5.904170124105011241e-02 6.128897000830515335e-02
1.571582117853823415e-02 -6.077634682544805905e-02 -5.954291989199035628e-02 5.898594808451455840e-02 6.134585571109073959e-02
1.885898541424588237e-02 -6.071931675102187204e-02 -5.959854824726017880e-02 5.893018257057253823e-02 6.140272683043778573e-02
2.200214964995352712e-02 -6.066227238454916654e-02 -5.965416399874444442e-02 5.887440472136783870e-02 6.145958333953848579e-02
2.514531388566117534e-02 -6.060521375220676021e-02 -5.970976712378730372e-02 5.881861455900236346e-02 6.151642521153122961e-02
2.828847812136882356e-02 -6.054814088011995638e-02 -5.976535759968921308e-02 5.876281210553631340e-02 6.157325241950061673e-02
3.143164235707646831e-02 -6.049105379436240520e-02 -5.982093540370727464e-02 5.870699738298831849e-02 6.163006493647726208e-02
3.457480659278411306e-02 -6.043395252095729725e-02 -5.987650051305446613e-02 5.865117041333547249e-02 6.168686273543749071e-02
3.771797082849176475e-02 -6.037683708587597564e-02 -5.993205290489988374e-02 5.859533121851369375e-02 6.174364578930337938e-02
4.086113506419940949e-02 -6.031970751503940020e-02 -5.998759255636894328e-02 5.853947982041758646e-02 6.180041407094237493e-02
4.400429929990705424e-02 -6.026256383431771030e-02 -6.004311944454233246e-02 5.848361624090068350e-02 6.185716755316723187e-02
4.714746353561470593e-02 -6.020540606952978074e-02 -6.009863354645675337e-02 5.842774050177561990e-02 6.191390620873583883e-02
5.029062777132235068e-02 -6.015413483910925924e-02 -6.014823424643901684e-02 5.837185262481413978e-02 6.197063001035101742e-02
5.343379200702999543e-02 -6.020962329943187891e-02 -6.009104839078480836e-02 5.831595263174731841e-02 6.202733893066037646e-02
5.657695624273764712e-02 -6.026509890434322142e-02 -6.003384852821479906e-02 5.826004054426564549e-02 6.208403294225604135e-02
5.972012047844529187e-02 -6.032056163069510202e-02 -5.997663468435442125e-02 5.820411638401915694e-02 6.214071201767461250e-02
6.286328471415293662e-02 -6.037601145530092916e-02 -5.991940688477341570e-02 5.814818017261751126e-02 6.219737612939685301e-02
6.600644894986058830e-02 -6.043144835492775258e-02 -5.986216515499122315e-02 5.809223193163021159e-02 6.225402524984764013e-02
6.914961318556822611e-02 -6.048687230629823386e-02 -5.980490952047769204e-02 5.803627168258663344e-02 6.231065935139571549e-02
7.229277742127587780e-02 -6.054228328608911303e-02 -5.974764000665358510e-02 5.798029944697617732e-02 6.236727840635344911e-02
7.543594165698352949e-02 -6.059768127093147216e-02 -5.969035663889048215e-02 5.792431524624840067e-02 6.242388238697680475e-02
7.857910589269116730e-02 -6.065306623741081177e-02 -5.963305944251104385e-02 5.786831910181313571e-02 6.248047126546502766e-02
8.172227012839881899e-02 -6.070843816206671073e-02 -5.957574844278877568e-02 5.781231103504057972e-02 6.253704501396051274e-02
8.486543436410647068e-02 -6.076379702139275696e-02 -5.951842366494884684e-02 5.775629106726148237e-02 6.259360360454865879e-02
8.800859859981410849e-02 -6.081914279183623512e-02 -5.946108513416767383e-02 5.770025921976716654e-02 6.265014700925754243e-02
9.115176283552176018e-02 -6.087447544979835562e-02 -5.940373287557321191e-02 5.764421551380972258e-02 6.270667520005797357e-02
9.429492707122941186e-02 -6.092979497163352604e-02 -5.934636691424544086e-02 5.758815997060212633e-02 6.276318814886307218e-02
9.743809130693704967e-02 -6.098510133364989927e-02 -5.928898727521599715e-02 5.753209261131830149e-02 6.281968582752822661e-02
1.005812555426447014e-01 -6.104039451210865191e-02 -5.923159398346861115e-02 5.747601345709328624e-02 6.287616820785084382e-02
1.037244197783523530e-01 -6.109567448322419242e-02 -5.917418706393927363e-02 5.741992252902332339e-02 6.293263526157021059e-02
1.068675840140599909e-01 -6.115094122316376557e-02 -5.911676654151628435e-02 5.736381984816598528e-02 6.298908696036722987e-02
1.100107482497676425e-01 -6.120619470804754270e-02 -5.905933244104048796e-02 5.730770543554030566e-02 6.304552327586430971e-02
1.131539124854752942e-01 -6.126143491394823309e-02 -5.900188478730524627e-02 5.725157931212689066e-02 6.310194417962515512e-02
1.162970767211829320e-01 -6.131666181689116729e-02 -5.894442360505682682e-02 5.719544149886797435e-02 6.315834964315454603e-02
1.194402409568905837e-01 -6.137187539285406113e-02 -5.888694891899443062e-02 5.713929201666760604e-02 6.321473963789815687e-02
1.225834051925982354e-01 -6.142707561776668268e-02 -5.882946075377021300e-02 5.708313088639178218e-02 6.327111413524237615e-02
1.257265694283058732e-01 -6.148226246751101187e-02 -5.877195913398970684e-02 5.702695812886845322e-02 6.332747310651413997e-02
1.288697336640135249e-01 -6.153743591792094209e-02 -5.871444408421169769e-02 5.697077376488776657e-02 6.338381652298069602e-02
1.320128978997211766e-01 -6.159259594478204425e-02 -5.865691562894852218e-02 5.691457781520205955e-02 6.344014435584939549e-02
1.351560621354288283e-01 -6.164774252383149050e-02 -5.859937379266615814e-02 5.685837030052607460e-02 6.349645657626754036e-02
1.382992263711364522e-01 -6.170287563075804727e-02 -5.854181859978439817e-02 5.680215124153698697e-02 6.355275315532221692e-02
1.414423906068441039e-01 -6.175799524120167278e-02 -5.848425007467691200e-02 5.674592065887457820e-02 6.360903406403996263e-02
1.445855548425517556e-01 -6.181310133075344770e-02 -5.842666824167155881e-02 5.668967857314134023e-02 6.366529927338678008e-02
1.477287190782594073e-01 -6.186819387495558209e-02 -5.836907312505029699e-02 5.663342500490253090e-02 6.372154875426773446e-02
1.508718833139670590e-01 -6.192327284930099901e-02 -5.831146474904955190e-02 5.657715997468634045e-02 6.377778247752685647e-02
1.540150475496747107e-01 -6.197833822923340397e-02 -5.825384313786011875e-02 5.652088350298400260e-02 6.383400041394696189e-02
1.571582117853823346e-01 -6.203338999014693794e-02 -5.819620831562754421e-02 5.646459561024987778e-02 6.389020253424936013e-02
1.603013760210899863e-01 -6.208842810738619822e-02 -5.813856030645207090e-02 5.640829631690155721e-02 6.394638880909377099e-02
1.634445402567976380e-01 -6.214345255624594694e-02 -5.808089913438899132e-02 5.635198564332001558e-02 6.400255920907801932e-02
1.665877044925052897e-01 -6.219846331197106948e-02 -5.802322482344844656e-02 5.629566360984966655e-02 6.405871370473789628e-02
1.697308687282129414e-01 -6.225346034975623444e-02 -5.796553739759591900e-02 5.623933023679851539e-02 6.411485226654689562e-02
1.728740329639205930e-01 -6.230844364474597691e-02 -5.790783688075219066e-02 5.618298554443822146e-02 6.417097486491614433e-02
1.760171971996282170e-01 -6.236341317203435847e-02 -5.785012329679346116e-02 5.612662955300427858e-02 6.422708147019395852e-02
1.791603614353358687e-01 -6.241836890666485615e-02 -5.779239666955160448e-02 5.607026228269601509e-02 6.428317205266589895e-02
1.823035256710435204e-01 -6.247331082363020982e-02 -5.773465702281410650e-02 5.601388375367682970e-02 6.433924658255441020e-02
1.854466899067511720e-01 -6.252823889787226253e-02 -5.767690438032447436e-02 5.595749398607416381e-02 6.439530503001859862e-02
1.885898541424588237e-01 -6.258315310428182177e-02 -5.761913876578207694e-02 5.590109299997972347e-02 6.445134736515412133e-02
1.917330183781664754e-01 -6.263805341769837498e-02 -5.756136020284251253e-02 5.584468081544950030e-02 6.450737355799293637e-02
1.948761826138740993e-01 -6.269293981291014506e-02 -5.750356871511762280e-02 5.578825745250393792e-02 6.456338357850303911e-02
1.980193468495817510e-01 -6.274781226465372952e-02 -5.744576432617568701e-02 5.573182293112799446e-02 6.461937739658835111e-02
2.011625110852894027e-01 -6.280267074761401724e-02 -5.738794705954143593e-02 5.567537727127127439e-02 6.467535498208838718e-02
2.043056753209970544e-01 -6.285751523642402194e-02 -5.733011693869633635e-02 5.561892049284812567e-02 6.473131630477817200e-02
2.074488395567047061e-01 -6.291234570566466011e-02 -5.727227398707861877e-02 5.556245261573769523e-02 6.478726133436790713e-02
2.105920037924123300e-01 -6.296716212986472327e-02 -5.721441822808349259e-02 5.550597365978414410e-02 6.484319004050285995e-02
2.137351680281199817e-01 -6.302196448350053104e-02 -5.715654968506318767e-02 5.544948364479664743e-02 6.489910239276308612e-02
2.168783322638276334e-01 -6.307675274099590335e-02 -5.709866838132709316e-02 5.539298259054953322e-02 6.495499836066317978e-02
2.200214964995352851e-01 -6.313152687672193841e-02 -5.704077434014197950e-02 5.533647051678238643e-02 6.501087791365217639e-02
2.231646607352429368e-01 -6.318628686499679070e-02 -5.698286758473209562e-02 5.527994744320015308e-02 6.506674102111321967e-02
2.263078249709505885e-01 -6.324103268008560153e-02 -5.692494813827913419e-02 5.522341338947325123e-02 6.512258765236339508e-02
